DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2013-09-03 12:41:07",INFO,--,"Nie udało się odnależć produktu:2544",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-03 12:47:31",INFO,--,"Nie udało się odnależć produktu:2544",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-03 13:00:13",INFO,--,"Nie udało się odnależć produktu:2544",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-03 13:28:37",INFO,--,"Nie udało się odnależć produktu:31",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-03 13:28:37",INFO,--,"Nie udało się odnależć produktu:31",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-03 13:28:37",INFO,--,"Nie udało się odnależć produktu:31",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-03 13:28:37",INFO,--,"Nie udało się odnależć produktu:2544",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:25:57",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:25:57",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:25:57",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:25:57",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:57:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:57:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:57:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 13:57:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:41",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:41",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:41",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:41",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:43",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:43",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:43",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 14:43:43",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:49:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:49:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:49:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:49:19",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:51:38",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:51:38",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:51:38",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 15:51:38",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:04:47",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:04:47",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:04:47",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:04:47",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:13",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:13",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:13",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:13",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
